"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"11/2022";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"1.808.826,16";"13.644.464,58";"186.144.300,18";"965.904,00";
"02/2022";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"- 359.550.580,60";"308.378.788,68";"294.017.120,72";"22.485.256,54";
"08/2022";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"35.747.200,43";"318.044.025,82";"314.478.437,51";"2.611.099,48";
"04/2022";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"277.261.055,04";"310.569.725,75";"311.137.461,87";"2.067.304,58";
"01/2022";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"3.159.878.346,60";"277.492.897,95";"99.768.371,98";"265.370.842,94";
"03/2022";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"29.699.389,80";"315.514.191,50";"327.851.315,57";"2.208.368,06";
"05/2022";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"21.743.490,31";"314.535.590,03";"316.376.889,06";"15.670.590,09";
"09/2022";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"52.476.645,79";"308.233.023,80";"311.425.292,76";"1.132.814,15";
"06/2022";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"17.789.269,49";"376.605.009,00";"310.177.632,44";"3.369.362,83";
"10/2022";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"177.849.596,40";"317.643.233,51";"314.465.818,97";"631.816,94";
"07/2022";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"350.766.550,66";"309.962.902,13";"381.932.569,51";"1.819.654,57";
"11/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20402 - Agência Espacial Brasileira";"647.147,28";"634.143,45";"1.572.585,85";"739.368,71";
"07/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20402 - Agência Espacial Brasileira";"13.098.944,22";"2.733.528,27";"3.039.038,16";"1.619.453,22";
"04/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20402 - Agência Espacial Brasileira";"2.628.212,66";"1.702.342,41";"1.703.630,23";"1.373.345,59";
"01/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20402 - Agência Espacial Brasileira";"7.960.023,13";"1.208.470,42";"421.514,48";"1.150.374,33";
"10/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20402 - Agência Espacial Brasileira";"100.840,76";"2.054.743,23";"1.840.766,85";"1.160.280,50";
"08/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20402 - Agência Espacial Brasileira";"- 2.434.545,57";"4.204.031,77";"4.161.999,32";"1.037.507,78";
"03/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20402 - Agência Espacial Brasileira";"4.474.929,42";"1.900.746,99";"1.910.147,17";"2.012.782,28";
"02/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20402 - Agência Espacial Brasileira";"1.993.293,65";"1.380.013,09";"1.329.256,08";"892.034,91";
"06/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20402 - Agência Espacial Brasileira";"2.283.006,58";"2.294.894,92";"2.041.047,78";"242.251,18";
"05/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20402 - Agência Espacial Brasileira";"1.550.032,73";"2.215.574,89";"2.199.298,64";"2.116.510,91";
"09/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20402 - Agência Espacial Brasileira";"1.832.788,23";"2.400.287,29";"2.438.289,36";"9.670.609,94";
"05/2022";"39000 - Ministério da Infraestrutura";"62201 - Agência Nacional de Aviação Civil";"18.663.226,83";"36.803.917,60";"38.600.194,41";"700.984,12";
"03/2022";"39000 - Ministério da Infraestrutura";"62201 - Agência Nacional de Aviação Civil";"6.024.151,77";"39.376.213,53";"38.615.703,14";"564.961,65";
"07/2022";"39000 - Ministério da Infraestrutura";"62201 - Agência Nacional de Aviação Civil";"3.457.032,25";"36.295.274,76";"43.190.253,03";"692.898,83";
"04/2022";"39000 - Ministério da Infraestrutura";"62201 - Agência Nacional de Aviação Civil";"41.025.087,27";"37.106.922,48";"37.450.720,72";"3.410.248,77";
"01/2022";"39000 - Ministério da Infraestrutura";"62201 - Agência Nacional de Aviação Civil";"370.354.293,68";"33.256.577,97";"10.937.149,30";"28.330.235,51";
"02/2022";"39000 - Ministério da Infraestrutura";"62201 - Agência Nacional de Aviação Civil";"8.825.612,11";"34.713.164,19";"35.955.054,05";"4.947.625,37";
"08/2022";"39000 - Ministério da Infraestrutura";"62201 - Agência Nacional de Aviação Civil";"5.119.706,60";"38.492.401,94";"39.204.128,40";"14.095,48";
"11/2022";"39000 - Ministério da Infraestrutura";"62201 - Agência Nacional de Aviação Civil";"1.029.982,70";"4.307.475,94";"26.430.951,96";"88.092,00";
"06/2022";"39000 - Ministério da Infraestrutura";"62201 - Agência Nacional de Aviação Civil";"4.378.468,68";"45.291.594,33";"38.448.070,05";"1.987.634,79";
"09/2022";"39000 - Ministério da Infraestrutura";"62201 - Agência Nacional de Aviação Civil";"3.413.239,96";"39.551.140,91";"38.878.863,34";"138.036,78";
"10/2022";"39000 - Ministério da Infraestrutura";"62201 - Agência Nacional de Aviação Civil";"3.204.176,18";"38.214.267,60";"40.037.992,87";"607.860,77";
"08/2022";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"4.210.789,21";"365.495.877,06";"365.465.761,81";"341.564,29";
"11/2022";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"147.734.695,66";"131.738.840,65";"141.604.206,64";"11.898,24";
"05/2022";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"5.142.528,66";"403.231.817,82";"403.355.406,22";"1.397.810,04";
"06/2022";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"1.137.681,97";"397.922.873,02";"394.643.240,44";"89.429,93";
"07/2022";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"11.340.885,59";"379.311.846,77";"382.708.189,62";"35.629,64";
"04/2022";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"78.675.626,90";"529.984.258,35";"534.062.448,02";"1.917.873,05";
"03/2022";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"2.971.876,85";"336.284.491,73";"332.586.400,55";"9.956.087,66";
"09/2022";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"3.481.732,53";"229.989.640,83";"230.140.198,39";"2.409.519,64";
"10/2022";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"7.001.249,60";"497.742.397,44";"497.217.514,14";"0,00";
"01/2022";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"4.279.951.209,26";"152.885.511,50";"142.487.570,77";"171.127.148,09";
"02/2022";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"6.332.996,23";"226.861.253,08";"226.665.710,60";"480.079,09";
"06/2022";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"5.410.298,52";"477.603.925,84";"471.851.193,15";"896.995,85";
"03/2022";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"2.842.436,88";"846.059.250,51";"845.603.494,96";"478.843.361,70";
"05/2022";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"1.665.280.671,87";"511.770.945,25";"512.402.768,66";"21.075.675,61";
"07/2022";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"2.970.619,82";"528.350.537,39";"534.227.442,93";"107.301,89";
"08/2022";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"5.910.463,82";"670.391.326,69";"669.809.340,15";"161.383,22";
"09/2022";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"6.386.331,79";"552.339.906,82";"552.761.628,32";"48.015,94";
"11/2022";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"995.996,22";"1.449.085,03";"16.579.014,11";"4.577,00";
"01/2022";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"276.954.467,96";"20.431.663,72";"5.609.137,52";"562.851.080,59";
"10/2022";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"3.102.740,53";"576.775.480,16";"575.907.031,63";"0,00";
"04/2022";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"17.734.160,95";"354.202.498,03";"354.168.658,52";"78.680.158,26";
"02/2022";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"7.559.819.638,73";"23.851.880,57";"23.674.068,48";"95.922.680,80";
"09/2022";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"5.819.494,44";"22.145.690,81";"22.011.412,73";"14.449,41";
"11/2022";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"4.960.726,75";"3.081.292,37";"11.979.022,03";"6.162,88";
"05/2022";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"9.253.144,54";"24.008.988,45";"24.069.555,66";"104.683,73";
"03/2022";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"7.222.939,95";"22.033.402,62";"22.315.441,79";"227.153,78";
"06/2022";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"4.864.021,38";"23.419.629,46";"19.681.014,54";"2.773,32";
"04/2022";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"6.594.904,56";"20.990.109,95";"21.387.537,55";"677.175,02";
"10/2022";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"5.291.080,80";"20.545.598,91";"20.396.747,92";"24.976,70";
"08/2022";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"6.380.053,84";"22.236.530,40";"22.333.011,03";"0,00";
"01/2022";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"201.612.366,21";"15.678.182,36";"6.162.154,03";"16.248.524,71";
"07/2022";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"8.854.420,92";"22.931.169,59";"26.814.283,17";"401.352,64";
"02/2022";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"4.363.231,70";"20.055.222,89";"19.614.974,51";"3.182.768,12";
"07/2022";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"313.274,44";"10.412.941,09";"12.611.359,43";"207.041,67";
"08/2022";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"3.756.118,61";"10.798.705,93";"10.364.749,97";"61.103,23";
"10/2022";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"602.095,80";"11.448.973,77";"11.653.602,18";"15.300,00";
"01/2022";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"117.623.398,47";"9.116.904,91";"3.067.829,72";"8.761.111,27";
"04/2022";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"16.073.857,49";"11.865.381,55";"11.989.159,81";"445.553,22";
"05/2022";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"4.063.270,42";"12.164.524,81";"12.809.815,06";"77.117,52";
"03/2022";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"6.137.520,53";"11.213.737,29";"10.144.939,79";"1.130.268,00";
"02/2022";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"2.484.012,74";"10.312.450,80";"10.025.688,72";"2.053.671,11";
"06/2022";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"- 590.407,65";"12.622.687,45";"11.219.059,45";"357.006,40";
"11/2022";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"- 129.472,67";"1.320.192,21";"7.052.984,16";"0,00";
"09/2022";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"1.244.624,27";"12.271.306,73";"12.441.108,51";"2.796,48";
"06/2022";"39000 - Ministério da Infraestrutura";"39250 - Agência Nacional de Transportes Terrestres";"6.508.467,21";"41.743.843,27";"37.733.266,31";"843.759,93";
"07/2022";"39000 - Ministério da Infraestrutura";"39250 - Agência Nacional de Transportes Terrestres";"22.039.387,99";"37.901.793,48";"42.135.013,01";"583.039,50";
"08/2022";"39000 - Ministério da Infraestrutura";"39250 - Agência Nacional de Transportes Terrestres";"4.807.966,77";"38.149.822,90";"40.835.744,55";"130.557,85";
"09/2022";"39000 - Ministério da Infraestrutura";"39250 - Agência Nacional de Transportes Terrestres";"11.409.372,09";"41.628.974,86";"41.953.271,49";"234.351,07";
"10/2022";"39000 - Ministério da Infraestrutura";"39250 - Agência Nacional de Transportes Terrestres";"1.441.906,21";"39.030.734,49";"37.045.422,16";"34.154,00";
"11/2022";"39000 - Ministério da Infraestrutura";"39250 - Agência Nacional de Transportes Terrestres";"1.039.505,83";"9.944.159,84";"23.599.784,04";"346.425,25";
"03/2022";"39000 - Ministério da Infraestrutura";"39250 - Agência Nacional de Transportes Terrestres";"16.226.312,26";"33.797.653,84";"32.399.098,40";"8.677.762,14";
"05/2022";"39000 - Ministério da Infraestrutura";"39250 - Agência Nacional de Transportes Terrestres";"15.864.729,23";"35.705.210,84";"35.898.064,56";"985.599,73";
"04/2022";"39000 - Ministério da Infraestrutura";"39250 - Agência Nacional de Transportes Terrestres";"129.797.837,90";"35.759.058,62";"33.839.039,33";"4.986.219,45";
"02/2022";"39000 - Ministério da Infraestrutura";"39250 - Agência Nacional de Transportes Terrestres";"35.209.520,19";"26.061.203,65";"23.640.212,94";"7.776.250,22";
"01/2022";"39000 - Ministério da Infraestrutura";"39250 - Agência Nacional de Transportes Terrestres";"287.991.578,57";"24.104.166,96";"10.014.934,88";"21.344.070,45";
"10/2022";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"36.651.410,20";"57.649.530,93";"57.409.873,97";"88.934,31";
"09/2022";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"47.784.280,38";"55.726.168,36";"55.477.504,19";"34.631,94";
"08/2022";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"69.062.684,49";"56.831.667,92";"57.399.616,95";"40.428,51";
"01/2022";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"115.362.600,91";"49.163.270,87";"16.416.540,52";"50.859.133,56";
"02/2022";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"6.131.852,43";"51.772.587,03";"51.775.714,39";"7.467.824,06";
"07/2022";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"39.006.780,67";"56.393.459,14";"70.701.559,59";"116.645,84";
"06/2022";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"67.264.846,88";"69.975.950,39";"56.134.041,91";"246.520,23";
"11/2022";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"1.223.614,84";"5.041.718,51";"37.320.304,51";"15.583,33";
"05/2022";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"62.459.610,15";"56.490.855,14";"56.713.103,89";"227.409,09";
"03/2022";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"101.419.450,66";"55.314.764,60";"55.281.090,40";"1.398.327,91";
"04/2022";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"90.466.483,21";"63.213.858,20";"62.615.653,69";"449.004,12";
"09/2022";"53000 - Ministério do Desenvolvimento Regional";"44205 - Agência Nacional de Águas";"7.746.064,97";"35.391.226,25";"35.830.576,29";"2.063.103,57";
"11/2022";"53000 - Ministério do Desenvolvimento Regional";"44205 - Agência Nacional de Águas";"- 5.253.500,74";"2.871.316,31";"8.354.137,20";"46.702,52";
"07/2022";"53000 - Ministério do Desenvolvimento Regional";"44205 - Agência Nacional de Águas";"16.227.888,96";"43.042.111,71";"43.862.462,28";"141.812,54";
"08/2022";"53000 - Ministério do Desenvolvimento Regional";"44205 - Agência Nacional de Águas";"10.631.374,44";"44.907.562,68";"45.963.713,57";"5.176.167,34";
"01/2022";"53000 - Ministério do Desenvolvimento Regional";"44205 - Agência Nacional de Águas";"224.360.807,09";"8.691.203,64";"3.133.720,87";"11.480.061,81";
"05/2022";"53000 - Ministério do Desenvolvimento Regional";"44205 - Agência Nacional de Águas";"26.274.103,77";"29.699.648,16";"29.770.731,05";"7.304.020,15";
"02/2022";"53000 - Ministério do Desenvolvimento Regional";"44205 - Agência Nacional de Águas";"19.365.873,88";"11.397.612,06";"11.481.801,38";"2.391.994,72";
"10/2022";"53000 - Ministério do Desenvolvimento Regional";"44205 - Agência Nacional de Águas";"3.418.863,69";"33.569.492,40";"33.251.698,48";"1.004.535,06";
"04/2022";"53000 - Ministério do Desenvolvimento Regional";"44205 - Agência Nacional de Águas";"22.177.644,63";"13.888.847,90";"13.506.166,68";"4.947.622,14";
"03/2022";"53000 - Ministério do Desenvolvimento Regional";"44205 - Agência Nacional de Águas";"2.152.494,26";"13.768.864,18";"13.981.859,75";"4.103.877,61";
"06/2022";"53000 - Ministério do Desenvolvimento Regional";"44205 - Agência Nacional de Águas";"15.252.674,95";"34.489.136,76";"32.459.078,88";"1.950.758,15";
"11/2022";"54000 - Ministério do Turismo";"20203 - Agência Nacional do Cinema";"81.750,50";"852.501,02";"5.377.477,11";"253.159,14";
"10/2022";"54000 - Ministério do Turismo";"20203 - Agência Nacional do Cinema";"- 518.589,91";"9.042.090,70";"8.958.621,19";"26.121,04";
"03/2022";"54000 - Ministério do Turismo";"20203 - Agência Nacional do Cinema";"1.076.317,35";"10.339.197,90";"10.244.763,31";"515.781,86";
"04/2022";"54000 - Ministério do Turismo";"20203 - Agência Nacional do Cinema";"422.868.475,59";"9.164.460,41";"9.292.805,40";"102.025.147,74";
"02/2022";"54000 - Ministério do Turismo";"20203 - Agência Nacional do Cinema";"4.751.663,21";"7.799.987,72";"7.688.403,47";"187.165,32";
"09/2022";"54000 - Ministério do Turismo";"20203 - Agência Nacional do Cinema";"- 493.488,21";"11.155.591,63";"11.794.431,10";"46.530,00";
"01/2022";"54000 - Ministério do Turismo";"20203 - Agência Nacional do Cinema";"97.449.690,81";"7.594.678,54";"2.795.537,37";"7.092.761,52";
"05/2022";"54000 - Ministério do Turismo";"20203 - Agência Nacional do Cinema";"963.277,21";"9.363.725,14";"9.438.156,82";"100.337.374,14";
"08/2022";"54000 - Ministério do Turismo";"20203 - Agência Nacional do Cinema";"2.214.960,10";"10.267.086,87";"9.680.206,54";"55.105,15";
"06/2022";"54000 - Ministério do Turismo";"20203 - Agência Nacional do Cinema";"3.526.439,00";"11.079.316,14";"9.065.428,10";"100.363.696,00";
"07/2022";"54000 - Ministério do Turismo";"20203 - Agência Nacional do Cinema";"6.752.567,76";"9.441.479,70";"11.469.669,02";"106.949.375,63";
"03/2022";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"3.459.369.088,50";"3.478.621.646,90";"3.477.739.937,73";"1.360.327,68";
"04/2022";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"3.161.334.925,69";"3.168.073.133,18";"3.165.181.046,41";"3.812.436,51";
"10/2022";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"3.763.115.586,66";"3.790.601.339,90";"3.790.215.274,59";"286.280,38";
"02/2022";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"3.669.142.311,20";"3.692.218.818,94";"3.692.180.850,44";"5.361.922.819,26";
"08/2022";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"10.456.811.938,51";"10.478.912.320,03";"10.479.153.222,91";"286.125,04";
"07/2022";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"3.742.015.762,27";"3.766.403.694,49";"3.770.976.977,12";"168.153,80";
"05/2022";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"19.272.637.215,24";"19.261.641.415,73";"19.265.481.145,56";"959.797,75";
"01/2022";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"272.005.903,88";"26.289.215,64";"12.987.320,35";"2.977.477.237,48";
"11/2022";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"2.772.104,03";"3.395.946,28";"15.597.038,03";"3.419,66";
"09/2022";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"4.024.923.311,59";"4.045.469.205,39";"4.045.143.640,63";"237.387,27";
"06/2022";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"3.358.458.886,63";"3.371.658.071,21";"3.366.981.444,89";"2.322.358,38";
"05/2022";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"256.137.892,28";"40.697.255,98";"39.770.401,64";"18.943.999,60";
"02/2022";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"15.212.736,18";"34.997.803,74";"34.992.553,69";"7.522.133,07";
"11/2022";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"1.093.156,62";"5.239.843,66";"25.167.557,70";"218.216,85";
"06/2022";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"13.499.785,73";"46.915.492,05";"41.573.511,92";"1.953.687,51";
"04/2022";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"- 201.564.111,29";"39.895.317,89";"40.036.505,96";"6.338.878,01";
"08/2022";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"4.127.314,83";"41.321.051,81";"41.466.758,59";"26.285.168,46";
"03/2022";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"9.887.845,28";"37.767.503,98";"37.916.579,08";"8.110.923,86";
"09/2022";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"7.074.094,43";"41.947.935,72";"41.551.228,12";"3.358.312,01";
"01/2022";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"361.181.284,29";"32.004.341,99";"11.158.980,45";"32.158.649,52";
"07/2022";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"13.689.994,81";"42.000.546,65";"48.747.743,45";"994.306,09";
"10/2022";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"5.060.764,70";"38.512.361,51";"38.432.984,54";"548.803,20";
"04/2022";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"1.065.760,15";"27.436.447,92";"44.299.195,78";"1.006.176,05";
"02/2022";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"248.866,63";"24.316.618,53";"22.947.476,47";"6.141.535,40";
"03/2022";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"12.015.574,89";"41.950.875,33";"24.861.248,38";"6.604.103,54";
"07/2022";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"299.052,78";"34.834.666,27";"37.106.206,86";"121.077,06";
"06/2022";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"68.497.200,20";"35.837.130,03";"82.200.977,49";"9.533.840,16";
"05/2022";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"109.179.640,59";"84.186.394,41";"28.958.851,59";"2.853.847,43";
"08/2022";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"- 2.150.701,77";"34.609.627,81";"36.516.941,03";"6.111,09";
"09/2022";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"- 32.101.385,40";"30.160.110,68";"33.023.036,66";"9.710.068,98";
"10/2022";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"25.472.045,60";"29.513.606,92";"29.859.866,64";"63.302,00";
"11/2022";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"4.057.137,92";"1.788.797,76";"17.799.885,66";"5.354,17";
"01/2022";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"307.325.552,20";"18.738.877,29";"647.027,24";"24.865.315,49";
"06/2022";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"286.119.537,69";"268.708.759,78";"274.787.450,64";"541,00";
"08/2022";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"288.381.257,82";"293.495.475,00";"374.097.155,47";"589.814,69";
"01/2022";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"337.681.309,50";"289.633.062,35";"16.494.480,05";"187.079.366,20";
"02/2022";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"318.311.867,40";"291.417.331,23";"292.452.100,82";"621.134,75";
"04/2022";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"319.729.845,55";"356.909.751,91";"315.321.782,03";"255.454,18";
"03/2022";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"325.109.168,41";"299.703.194,39";"297.350.983,05";"1.838.672,82";
"05/2022";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"258.749.304,76";"274.587.700,51";"338.218.003,75";"34.973,05";
"10/2022";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"262.032.872,10";"301.142.206,80";"304.705.078,72";"43.465,92";
